name,status,publisher,price_old,price_new,discount,authors,img_url
Java. Полное руководство,На складе,Вильямс,6567,3612,45,Шилдт Герберт,https://img4.labirint.ru/rc/1aa5981e050f0e29dbc19411e8463b28/220x340q80/books91/901986/cover.jpg?1668173114
JavaScript для начинающих,На складе,Бомбора:            Мировой компьютерный бестселлер (обложка),1264,923,27,МакГрат Майк,https://img4.labirint.ru/rc/e9f32c5ecf1ad5c6d81ea21e09ce007e/220x340q80/books89/883430/cover.jpg?1663835249
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Ограничено,ДМК-Пресс,3499,1924,45,Дабасс Элиас,https://img3.labirint.ru/rc/d34def0e61c75c5c57f08c4e9235986a/220x340q80/books91/902269/cover.jpg?1667978719
Kotlin. Программирование для профессионалов,На складе,Питер:            Для профессионалов,3665,2859,22,Скин Джош и др.,https://img3.labirint.ru/rc/f7591b93ebae77d873b20e6ae7b30904/220x340q80/books91/901601/cover.jpg?1666877126
Тестирование JavaScript,На складе,Питер:            Библиотека программиста,3265,2547,22,Коста Лукас да,https://img3.labirint.ru/rc/cc9da4df95b58820bb66fafff05f4f91/220x340q80/books91/900473/cover.jpg?1666787120
Программируем на Java,На складе,Питер:            Бестселлеры O`Reilly,3636,2836,22,Лой Марк и др.,https://img4.labirint.ru/rc/77e9e624071710809abb4553540a2a40/220x340q80/books91/900474/cover.jpg?1666787121
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие",Ограничено,ИНФРА-М:            Среднее профессиональное образование,3150,1733,45,"Винарский Яков Самуилович, Гутгарц Римма Давыдовна",https://img3.labirint.ru/rc/34b8c16a788373059436483513e39ab2/220x340q80/books68/674453/cover.jpg?1547479616
Введение в программную инженерию. Учебник,Ограничено,ИНФРА-М,3888,2138,45,Антипов Владимир Анатольевич и др.,https://img3.labirint.ru/rc/a07596592b25861ccf37ed6161196bdb/220x340q80/books70/697869/cover.jpg?1564205814
Учимся рисовать на компьютере кодом p5.js,На складе,ДМК-Пресс,2693,1481,45,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",https://img3.labirint.ru/rc/19a59a765fe835a1d4cff3ff81649da8/220x340q80/books91/900481/cover.jpg?1666614335
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,На складе,Лань,5565,3061,45,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",https://img4.labirint.ru/rc/11ebf3627c2e71d3e2f489ef65e455b9/220x340q80/books90/896566/cover.jpg?1666445130
Система контроля версий. Основы командной разработки. Учебное пособие,На складе,Лань:            Компьютеры и программное обеспечение,5565,3061,45,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",https://img3.labirint.ru/rc/29083f64d9d757055b33d01280b74a3e/220x340q80/books90/896567/cover.jpg?1666448732
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Ограничено,Лань:            Компьютеры и программное обеспечение,4372,2405,45,Исхаков Алмаз Раилевич,https://img4.labirint.ru/rc/13e5a077cbe6bea38873dc1d53456ebb/220x340q80/books90/896570/cover.jpg?1666448733
Эффективное тестирование программного обеспечения,На складе,ДМК-Пресс,4846,2665,45,Аниче Маурисио,https://img3.labirint.ru/rc/d304dfde6574204184bfc588e595de5d/220x340q80/books90/896017/cover.jpg?1665995131
Глубокое обучение на Python,На складе,Питер:            Библиотека программиста,3619,2823,22,Шолле Франсуа,https://img4.labirint.ru/rc/4031a129e2525b198a15bb1713888e0a/220x340q80/books90/894324/cover.jpg?1664900721
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,На складе,Инфра-Инженерия,1317,724,45,Сонькин Михаил Аркадьевич и др.,https://img3.labirint.ru/rc/6e88e5f5975e4d797d67ed2e4217bbac/220x340q80/books89/884401/cover.jpg?1665933952
Основы визуального программирования в среде Visual Studio на базе C#,На складе,Инфра-Инженерия,1651,908,45,Мартыненко Татьяна Владимировна и др.,https://img4.labirint.ru/rc/257d0027d8f49f6b56a72c5df6853a02/220x340q80/books89/884402/cover.jpg?1665681910
Пять строк кода. Роберт Мартин рекомендует,На складе,Питер:            Библиотека программиста,2181,1701,22,Клаусен Кристиан,https://img4.labirint.ru/rc/bc0d61df8311c91cbcbc0fd26437a88e/220x340q80/books90/893384/cover.jpg?1664378713
Python. Исчерпывающее руководство,На складе,Питер:            Для профессионалов,2872,2240,22,Бизли Дэвид,https://img3.labirint.ru/rc/31c960fc3c2fe7b5e7a7e790748c1736/220x340q80/books90/893385/cover.jpg?1664382302
Знакомство с Python,На складе,Питер:            Библиотека программиста,2746,2142,22,Бейдер Дэн и др.,https://img3.labirint.ru/rc/7bb7e09123455b24ae27376769d8aa51/220x340q80/books89/883369/cover.jpg?1663770536
Теория и практика программирования на языке Pascal,Ограничено,Вышэйшая школа,17811,9796,45,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",https://img3.labirint.ru/rc/d2015239824a4667622596f0fb8220c8/220x340q80/books88/879547/cover.jpg?1663831503
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",На складе,Питер:            Бестселлеры O`Reilly,4855,3787,22,Коул Анирад и др.,https://img3.labirint.ru/rc/6e47920be83c22697d31760c62abb295/220x340q80/books89/881979/cover.jpg?1663665948
Грокаем стриминг,На складе,Питер:            Библиотека программиста,2182,1702,22,"Фишер Джош, Ван Нин",https://img3.labirint.ru/rc/4032cbad784f9497402ef99e142d6632/220x340q80/books89/881981/cover.jpg?1663665950
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,На складе,Бомбора:            Мировой компьютерный бестселлер (обложка),2053,1499,27,"Горелик Миша, Йен Освальд",https://img4.labirint.ru/rc/4a71324b09e5219469cabd8c766fd954/220x340q80/books89/882156/cover.jpg?1663226723
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,На складе,Кнорус:            Среднее профессиональное образование,2549,1402,45,"Шитов Виктор Николаевич, Успенский Кирилл Евгеньевич",https://img4.labirint.ru/rc/a44d40998f9f3c97ce4611cf2cd80bcd/220x340q80/books89/881602/cover.jpg?1663611905
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",На складе,Лань:            Компьютеры и программное обеспечение,3975,2186,45,Янцев Валерий Викторович,https://img3.labirint.ru/rc/7448edc7ef54586534635d26e7582eee/220x340q80/books88/879343/cover.jpg?1663176307
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",На складе,Лань:            Компьютеры и программное обеспечение,3975,2186,45,Янцев Валерий Викторович,https://img4.labirint.ru/rc/0c56b610fac9c9f3ec3dd8a79df84175/220x340q80/books88/879344/cover.jpg?1663176308
Entity Framework Core в действии,На складе,ДМК-Пресс,5383,2961,45,Смит Джон П.,https://img3.labirint.ru/rc/95db9d832b8ee08b1c2c2c7dd14d2546/220x340q80/books89/880127/cover.jpg?1663082725
API в разработке приложений Autodesk Inventor. Практическое руководство,На складе,Инфра-Инженерия,3581,1970,45,Дюймовский Пайни,https://img3.labirint.ru/rc/c503229141f613b46f4270e80210a0f6/220x340q80/books88/877265/cover.jpg?1663165519
Python без проблем. Решаем реальные задачи и пишем полезный код,На складе,Питер:            Библиотека программиста,2073,1617,22,Зингаро Даниэль,https://img4.labirint.ru/rc/40d2be967bd400e414a2cfc9f7ef8642/220x340q80/books88/879296/cover.jpg?1662391515
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",На складе,Питер:            Бестселлеры O`Reilly,3619,2823,22,Никсон Робин,https://img3.labirint.ru/rc/8a7e80601724be7b66d1e625398151d4/220x340q80/books88/879297/cover.jpg?1662391523
Кибердзюцу. Кибербезопасность для современных ниндзя,На складе,Питер:            Библиотека программиста,2364,1844,22,Маккарти Бен,https://img4.labirint.ru/rc/8127658c0bc0a99d1919110907161c3d/220x340q80/books88/878308/cover.jpg?1661527524
