,ID,Название,Модель,Категория,Изображения,Базовая цена,Цена со скидкой
0,10026500,Телевизор Haier 32 Smart TV MX,32 Smart TV MX,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10026500.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026500s.jpg",17999,15999
1,10027330,Телевизор Philips The One 50PUS8506/60,The One 50PUS8506/60,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10027330.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b22.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b23.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b24.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b25.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b26.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b27.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b28.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b29.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b30.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b31.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027330s.jpg",59999,52999
2,10030235,Телевизор Sber SBX-43U219TSS,SBX-43U219TSS,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030235.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b10.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b11.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b12.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b13.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235b9.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030235s.jpg",24999,18999
3,10028918,Телевизор Novex NWX-50U169TSY  ,NWX-50U169TSY  ,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10028918.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028918b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028918s.jpg",28999,21999
4,10027336,Телевизор Philips 55PUS7406/60,55PUS7406/60,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10027336.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b21.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b22.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b23.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b24.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b26.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b27.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10027336s.jpg",59999,43999
5,10031219,Телевизор Grundig 50 GGU 7900B,50 GGU 7900B,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031219.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031219s.jpg",57999,47999
6,10030694,Телевизор HEC R1 32 HD (DH1U6FD02RU),R1 32 HD (DH1U6FD02RU),ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030694.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030694s.jpg",12999,10999
7,10031215,Телевизор Grundig 43 GFU 7800B,43 GFU 7800B,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031215.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031215s.jpg",42999,33999
8,10030416,QLED Телевизор Toshiba 50C450KE,50C450KE,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030416.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030416s.jpg",59999,44999
9,10031235,Телевизор Grundig 65 GGU 7970A,65 GGU 7970A,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031235.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031235s.jpg",84999,69999
